"Spectrum File: LD-1k.chn"
"Program: Fitzpeaks"
"Energy scale: 0.269309 keV/channel"
"Energy","Counts","Centroid","FWHM","Actual counts","Actual centroid"
50,362,200.023091802604,.764702094367302,362,200.03591160221
90,398,348.551504695927,.803048690582059,396,348.555555555556
130,398,497.079994696495,.841067627490963,399,497.087719298246
170,398,645.608561804426,.878758905094014,397,645.622166246851
210,433,794.137206019842,.916122523391212,432,794.134259259259
250,433,942.665927342862,.953158482382556,433,942.665127020785
290,433,1091.19472577361,.989866782068048,434,1091.20046082949
330,468,1239.7236013122,1.02624742244769,469,1239.73773987207
370,468,1388.25255395875,1.06230040352147,467,1388.25267665953
410,468,1536.78158371339,1.0980257252894,467,1536.78372591006
450,503,1685.31069057623,1.13342338775148,503,1685.32007952286
490,503,1833.8398745474,1.16849339090771,502,1833.84462151394
530,503,1982.36913562701,1.20323573475808,502,1982.36055776892
570,503,2130.89847381519,1.2376504193026,502,2130.90438247012
610,538,2279.42788911206,1.27173744454127,538,2279.41821561338
650,538,2427.95738151772,1.30549681047408,537,2427.94972067039
690,538,2576.48695103232,1.33892851710104,537,2576.48044692737
730,572,2725.01659765596,1.37203256442215,570,2725.01052631579
770,572,2873.54632138876,1.4048089524374,572,2873.54895104895
810,572,3022.07612223085,1.4372576811468,572,3022.07167832168
850,606,3170.60600018235,1.46937875055035,605,3170.61157024793
890,606,3319.13595524337,1.50117216064804,606,3319.13696369637
930,606,3467.66598741404,1.53263791143988,606,3467.66501650165
970,606,3616.19609669448,1.56377600292587,605,3616.20826446281
1010,640,3764.7262830848,1.59458643510601,639,3764.72926447574
1050,640,3913.25654658512,1.62506920798029,639,3913.24569640063
1090,640,4061.78688719558,1.65522432154872,638,4061.80877742947
1130,640,4210.31730491628,1.68505177581129,640,4210.3015625
1170,674,4358.84779974734,1.71455157076802,672,4358.84523809524
1210,674,4507.3783716889,1.74372370641889,673,4507.37147102526
1250,674,4655.90902074106,1.7725681827639,673,4655.88558692422
1290,674,4804.43974690394,1.80108499980307,672,4804.45535714286
1330,708,4952.97055017767,1.82927415753638,707,4952.97171145686
1370,708,5101.50143056238,1.85713565596383,709,5101.51339915374
1410,708,5250.03238805816,1.88466949508544,707,5250.04526166902
1450,708,5398.56342266516,1.91187567490119,710,5398.55492957746
1490,742,5547.09453438348,1.93875419541108,743,5547.10767160162
1530,742,5695.62572321325,1.96530505661513,742,5695.61994609164
1570,742,5844.15698915459,1.99152825851332,741,5844.18758434548
1610,742,5992.68833220761,2.01742380110566,740,5992.68243243243
1650,775,6141.21975237244,2.04299168439214,774,6141.18604651163
1690,775,6289.7512496492,2.06823190837278,776,6289.76159793814
1730,775,6438.28282403801,2.09314447304755,774,6438.28294573643
1770,775,6586.81447553898,2.11772937841648,775,6586.82451612903
1810,775,6735.34620415225,2.14198662447955,775,6735.34709677419
1850,809,6883.87800987792,2.16591621123677,808,6883.89108910891
1890,809,7032.40989271612,2.18951813868814,806,7032.41563275434
1930,809,7180.94185266697,2.21279240683365,806,7180.90694789082
1970,809,7329.47388973059,2.23573901567331,807,7329.47211895911
2010,843,7478.00600390709,2.25835796520712,843,7478.01304863582
