50,79.8269777334898,200.023091802604,.764702094367302,78,200.038461538462
90,79.8269777334898,348.551504695927,.803048690582059,80,348.6
130,79.8269777334898,497.079994696495,.841067627490963,79,497.050632911392
170,79.8269777334898,645.608561804426,.878758905094014,80,645.575
210,79.8269777334898,794.137206019842,.916122523391212,79,794.189873417722
250,79.8269777334898,942.665927342862,.953158482382556,78,942.679487179487
290,79.8269777334898,1091.19472577361,.989866782068048,80,1091.125
330,79.8269777334898,1239.7236013122,1.02624742244769,79,1239.77215189873
370,79.8269777334898,1388.25255395875,1.06230040352147,80,1388.2375
410,99.9443765243903,1536.78158371339,1.0980257252894,100,1536.74
450,99.9443765243903,1685.31069057623,1.13342338775148,100,1685.34
490,99.9443765243903,1833.8398745474,1.16849339090771,101,1833.83168316832
530,99.9443765243903,1982.36913562701,1.20323573475808,99,1982.39393939394
570,99.9443765243903,2130.89847381519,1.2376504193026,99,2130.87878787879
610,99.9443765243903,2279.42788911206,1.27173744454127,100,2279.34
650,99.9443765243903,2427.95738151772,1.30549681047408,98,2427.9693877551
690,99.9443765243903,2576.48695103232,1.33892851710104,100,2576.5
730,99.9443765243903,2725.01659765596,1.37203256442215,98,2725
770,99.9443765243903,2873.54632138876,1.4048089524374,99,2873.54545454545
810,119.79824166914,3022.07612223085,1.4372576811468,120,3022.075
850,119.79824166914,3170.60600018235,1.46937875055035,117,3170.5641025641
890,119.79824166914,3319.13595524337,1.50117216064804,118,3319.12711864407
930,119.79824166914,3467.66598741404,1.53263791143988,120,3467.73333333333
970,119.79824166914,3616.19609669448,1.56377600292587,118,3616.16949152542
1010,119.79824166914,3764.7262830848,1.59458643510601,119,3764.71428571429
1050,119.79824166914,3913.25654658512,1.62506920798029,121,3913.29752066116
1090,119.79824166914,4061.78688719558,1.65522432154872,117,4061.76068376068
1130,119.79824166914,4210.31730491628,1.68505177581129,119,4210.39495798319
1170,119.79824166914,4358.84779974734,1.71455157076802,120,4358.825
1210,119.79824166914,4507.3783716889,1.74372370641889,118,4507.36440677966
1250,119.79824166914,4655.90902074106,1.7725681827639,120,4655.91666666667
1290,139.50113726622,4804.43974690394,1.80108499980307,138,4804.44927536232
1330,139.50113726622,4952.97055017767,1.82927415753638,135,4953
1370,139.50113726622,5101.50143056238,1.85713565596383,140,5101.5
1410,139.50113726622,5250.03238805816,1.88466949508544,138,5250.1231884058
1450,139.50113726622,5398.56342266516,1.91187567490119,138,5398.5652173913
1490,139.50113726622,5547.09453438348,1.93875419541108,138,5547.10869565217
1530,139.50113726622,5695.62572321325,1.96530505661513,139,5695.59712230216
1570,139.50113726622,5844.15698915459,1.99152825851332,140,5844.11428571429
1610,139.50113726622,5992.68833220761,2.01742380110566,137,5992.6496350365
1650,139.50113726622,6141.21975237244,2.04299168439214,139,6141.20863309353
1690,139.50113726622,6289.7512496492,2.06823190837278,139,6289.73381294964
1730,139.50113726622,6438.28282403801,2.09314447304755,139,6438.32374100719
1770,139.50113726622,6586.81447553898,2.11772937841648,141,6586.79432624113
1810,159.109158044099,6735.34620415225,2.14198662447955,158,6735.36075949367
1850,159.109158044099,6883.87800987792,2.16591621123677,159,6883.91194968553
1890,159.109158044099,7032.40989271612,2.18951813868814,158,7032.5
1930,159.109158044099,7180.94185266697,2.21279240683365,158,7180.86075949367
1970,159.109158044099,7329.47388973059,2.23573901567331,156,7329.5
2010,159.109158044099,7478.00600390709,2.25835796520712,158,7478.04430379747
