This report was generated by CMPSPEC (version Apr 18 1996, 09:27:27)

66 peaks in TEST.DAT
173 peaks in ..\REFRSL\STRAIGHT.REF
---------------------------------------------------------------------------
           'TRUE' DATA          |         MEASURED DATA        |             
           STRAIGHT.REF         |         TEST.DAT             |
---------------------------------------------------------------------------
        E      |        A       |       E      |       A       |   Z-scores  
    val   unc  |   val    unc   |   val   unc  |   val     unc |  rep   ref
---------------------------------------------------------------------------
   740.7   0.3 |      60     5  |  740.7   0.3 |       0    24 |       -2.4
   742.5   0.1 |     381     5  |  742.5   0.1 |     281    38 | -2.6  -3.8
   752.8   0.1 |     169     5  |  752.8   0.1 |       0    24 |       -6.8
   765.5   0.1 |     109     5  |  765.5   0.1 |       0    22 |       -4.7
   768.3   0.1 |    6299    12  |  768.2   0.0 |    6296    88 | -0.0  -0.1
   785.8   0.1 |    1208    26  |  785.8   0.1 |    1312    52 |  1.8   0.9
   786.6   0.1 |     166    25  |  786.6   0.1 |       0   115 |       -1.4
   788.7   0.2 |      29     5  |  788.7   0.2 |       0    24 |       -1.2
   799.7   0.2 |      39     7  |  799.7   0.2 |       0    32 |       -1.2
   806.1   0.1 |    1570    12  |  806.1   0.1 |    1534    55 | -0.6  -0.6
   814.7   0.2 |      43     7  |  814.7   0.2 |       0    31 |       -1.3
   821.1   0.1 |     204     6  |  821.1   0.1 |       0    28 |       -7.0
   826.2   0.1 |     174     3  |  826.2   0.1 |       0    17 |       -9.9
   832.2   0.2 |      41     7  |  832.2   0.2 |       0    32 |       -1.2
   839.0   0.1 |     698    10  |  838.9   0.1 |     745    49 |  0.9     1
   873.2   0.2 |      39     8  |  873.2   0.2 |       0    38 |         -1
   904.4   0.1 |      71     8  |  904.4   0.1 |       0    39 |       -1.7
   930.1   0.1 |      56     6  |  930.1   0.1 |       0    29 |       -1.9
   934.0   0.1 |    3375    13  |  934.0   0.0 |    3331    70 | -0.6  -0.7
   964.1   0.1 |     370     4  |  964.1   0.1 |     381    40 |  0.3   0.5
  1032.3   0.2 |      61     7  | 1032.3   0.2 |       0    32 |       -1.8
  1052.0   0.1 |     323     5  | 1052.0   0.1 |     413    37 |  2.4   3.8
  1070.1   0.1 |     263     7  | 1070.0   0.1 |     242    35 | -0.6  -0.6
  1096.7   0.1 |      59     6  | 1096.7   0.1 |       0    27 |       -2.1
  1103.7   0.1 |      98     7  | 1103.7   0.1 |       0    31 |       -3.0
  1104.7   0.1 |      66     3  | 1104.7   0.1 |       0    15 |       -4.1
  1120.3   0.1 |   13768    27  | 1120.4   0.1 |   13923   125 |  1.2   1.2
  1130.4   0.1 |      44     3  | 1130.4   0.1 |       0    14 |       -3.0
  1133.8   0.1 |     232     3  | 1133.8   0.1 |     259    30 |  0.9   1.9
  1155.3   0.1 |    1482     7  | 1155.3   0.1 |    1543    52 |  1.2   1.8
  1173.0   0.1 |      54     4  | 1173.0   0.1 |       0    18 |       -2.9
  1182.2   0.1 |     267     4  | 1182.3   0.1 |     290    35 |  0.6   1.1
  1207.8   0.1 |     400     7  | 1207.8   0.1 |     406    36 |  0.2   0.2
  1218.0   0.1 |      30     3  | 1218.0   0.1 |       0    13 |       -2.2
  1220.3   0.1 |      28     2  | 1220.3   0.1 |       0    13 |       -2.1
  1238.2   0.1 |    4941    19  | 1238.3   0.1 |    4977    79 |  0.4   0.4
  1252.7   0.1 |     114    10  | 1252.7   0.1 |       0    46 |       -2.4
  1254.2   0.1 |     129     9  | 1254.2   0.1 |       0    43 |       -2.9
  1271.5   0.2 |      29     6  | 1271.5   0.2 |       0    27 |       -1.0
